Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) 10,Coverage (%) 11,Coverage (%) 12,Coverage (%) 1,Coverage (%) 2,Coverage (%) 3,Coverage (%) 4,Coverage (%) 5,Coverage (%) 6,Coverage (%) 7,Coverage (%) 8,Coverage (%) 9,Area 10_hf,Area 11_im,Area 12_if,Area 1_hm,Area 2_hf,Area 3_im,Area 4_if,Area 5_hm,Area 6_hf,Area 7_im,Area 8_if,Area 9_hm,#Peptides,#Unique,#Spec 10,#Spec 11,#Spec 12,#Spec 1,#Spec 2,#Spec 3,#Spec 4,#Spec 5,#Spec 6,#Spec 7,#Spec 8,#Spec 9,PTM,Avg. Mass,Description
1258,30492,A0A650F079|A0A650F079_PENCE,93.11,53,0,16,26,27,26,53,11,0,26,16,16,16,,1.31E+03,3.90E+03,1.08E+03,2.91E+03,3.13E+03,1.04E+03,,1.97E+03,6.39E+02,1.16E+03,1.70E+02,4,4,0,1,8,4,2,7,2,0,2,2,1,1,Deamidation (NQ),20344,Calcineurin B OS=Penaeus chinensis OX=139456 PE=2 SV=1
1258,30493,A0A444T8W4|A0A444T8W4_ARMVU,93.11,53,0,16,26,27,26,53,11,0,26,16,16,16,,1.31E+03,3.90E+03,1.08E+03,2.91E+03,3.13E+03,1.04E+03,,1.97E+03,6.39E+02,1.16E+03,1.70E+02,4,4,0,1,8,4,2,7,2,0,2,2,1,1,Deamidation (NQ),20371,Calcineurin subunit B type 2 OS=Armadillidium vulgare OX=13347 GN=Avbf_13391 PE=3 SV=1
1181,3494,H6TCF4|H6TCF4_ERISI,93.08,22,12,15,22,12,12,15,12,0,0,12,15,12,3.42E+03,9.22E+03,8.83E+03,1.78E+03,3.94E+03,6.74E+03,1.04E+03,,,2.16E+04,4.05E+03,5.35E+01,3,3,2,5,5,1,1,7,1,0,0,7,5,1,Carbamidomethylation; Deamidation (NQ),14003,Anti-lipopolysaccharide factor 3 OS=Eriocheir sinensis OX=95602 GN=ALF-3 PE=2 SV=1
1622,11312,A0A5B7DWH9|A0A5B7DWH9_PORTR,93.06,11,11,0,11,0,0,11,0,0,0,11,11,0,1.53E+03,,1.18E+03,,,1.13E+04,,,,9.32E+02,2.89E+03,,3,3,5,0,1,0,0,7,0,0,0,1,1,0,,23449,Protein hu-li tai shao OS=Portunus trituberculatus OX=210409 GN=hts PE=4 SV=1
1775,1399,A0A0P4VW30|A0A0P4VW30_SCYOL,92.99,16,4,0,12,0,0,7,2,0,0,0,6,0,4.16E+02,,4.10E+03,,,1.20E+03,2.87E+03,,,,1.94E+03,,4,4,2,0,4,0,0,2,1,0,0,0,2,0,Carbamidomethylation,54890,Oxysterol-binding protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1357,1639,A0A1L5JHT6|A0A1L5JHT6_ERISI,92.74,12,6,6,2,2,2,4,4,5,6,4,2,4,1.93E+03,7.32E+03,2.49E+03,1.59E+03,2.02E+03,4.42E+03,1.63E+03,2.98E+02,1.67E+04,1.79E+03,2.67E+03,2.71E+03,4,4,2,5,1,1,2,3,1,1,4,2,1,2,Carbamidomethylation,63911,Carboxylic ester hydrolase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1526,1953,A0A5B7CFA5|A0A5B7CFA5_PORTR,92.69,10,0,5,3,0,0,3,0,0,0,0,5,0,,9.04E+02,1.13E+03,,,6.51E+02,,,,,1.56E+03,,3,3,0,9,3,0,0,2,0,0,0,0,4,0,Carbamidomethylation,51330,Rab proteins geranylgeranyltransferase component A 1 OS=Portunus trituberculatus OX=210409 GN=CHM PE=3 SV=1
1841,1327,A0A0P4WD75|A0A0P4WD75_SCYOL,92.58,10,3,0,3,5,0,3,0,0,0,0,3,0,7.20E+02,,4.64E+02,1.93E+03,,5.51E+02,,,,,6.64E+02,,4,4,3,0,1,1,0,1,0,0,0,0,3,0,,55686,Glutathione synthetase OS=Scylla olivacea OX=85551 PE=3 SV=1
1841,1350,A0A0P4WKA9|A0A0P4WKA9_SCYOL,92.58,10,3,0,3,5,0,3,0,0,0,0,3,0,7.20E+02,,4.64E+02,1.93E+03,,5.51E+02,,,,,6.64E+02,,4,4,3,0,1,1,0,1,0,0,0,0,3,0,,56744,Glutathione synthetase OS=Scylla olivacea OX=85551 PE=3 SV=1
1637,1214,A0A5B7DQN3|A0A5B7DQN3_PORTR,92.2,10,3,0,8,3,0,5,3,0,3,0,2,3,5.56E+02,,1.65E+03,5.29E+02,,1.23E+03,1.42E+03,,1.47E+03,,9.66E+02,1.29E+03,4,4,1,0,3,1,0,2,2,0,2,0,1,2,,53264,Epidermal growth factor receptor substrate 15-like 1 OS=Portunus trituberculatus OX=210409 GN=EPS15L1 PE=4 SV=1
1149,29361,A0A3R7SM39|A0A3R7SM39_PENVA,92.15,3,2,1,2,1,1,2,1,1,1,3,1,1,3.48E+03,3.42E+02,4.73E+03,,3.46E+02,8.77E+03,7.49E+02,3.72E+03,3.98E+02,4.92E+03,6.94E+03,2.55E+03,3,2,5,1,5,1,3,5,2,2,1,8,2,2,,145541,Putative microtubule-associated protein futsch OS=Penaeus vannamei OX=6689 GN=C7M84_015400 PE=4 SV=1
1295,1867,A0A5B7FXS6|A0A5B7FXS6_PORTR,92.12,25,15,15,9,9,9,15,9,9,10,9,15,9,1.01E+04,7.70E+03,1.03E+04,4.39E+03,5.04E+03,1.59E+04,3.86E+03,1.91E+03,3.83E+03,6.40E+03,9.64E+03,4.80E+03,3,3,4,3,3,2,2,5,2,1,1,2,2,1,,16275,Peptidyl-prolyl cis-trans isomerase OS=Portunus trituberculatus OX=210409 GN=dod PE=4 SV=1
1295,1980,A0A0P4WYF6|A0A0P4WYF6_SCYOL,92.12,23,14,14,8,8,8,14,8,8,9,8,14,8,1.01E+04,7.70E+03,1.03E+04,4.39E+03,5.04E+03,1.59E+04,3.86E+03,1.91E+03,3.83E+03,6.40E+03,9.64E+03,4.80E+03,3,3,4,3,3,2,2,5,2,1,1,2,2,1,,17643,Peptidyl-prolyl cis-trans isomerase OS=Scylla olivacea OX=85551 PE=4 SV=1
1471,1333,A0A0P4W9M8|A0A0P4W9M8_SCYOL,92.11,5,5,1,1,2,0,1,0,1,1,1,1,2,4.99E+03,4.41E+02,8.12E+02,3.66E+03,,8.93E+02,,1.72E+03,7.11E+02,1.34E+03,8.13E+02,1.63E+03,3,3,5,3,1,2,0,1,0,1,2,1,1,3,Carbamidomethylation,99789,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1131,1995,A0A0N6XEL0|A0A0N6XEL0_ERISI,92.04,14,4,7,14,0,11,7,11,0,11,11,3,11,8.23E+02,3.00E+03,5.96E+03,,1.55E+03,5.35E+03,2.67E+03,,3.98E+02,3.11E+03,7.77E+02,1.11E+03,3,3,4,3,10,0,5,4,4,0,2,3,1,3,Carbamidomethylation,36521,Cathepsin B OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1570,860,A0A385IUB7|A0A385IUB7_ERISI,91.97,7,2,5,5,0,0,5,0,0,2,2,7,0,1.23E+02,9.83E+02,8.32E+02,,,1.00E+03,,,0,2.38E+02,2.71E+03,,3,3,1,2,4,0,0,2,0,0,1,1,5,0,,88247,Carnitine O-palmitoyltransferase OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1640,1754,A0A0P4W649|A0A0P4W649_SCYOL,91.81,6,0,3,3,3,3,6,0,0,3,0,3,0,,5.96E+02,1.30E+03,6.99E+02,3.53E+02,2.43E+03,,,6.99E+02,,7.68E+02,,3,3,0,1,2,2,2,5,0,0,1,0,1,0,Carbamidomethylation,55608,ENTH domain-containing protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1640,31493,A0A3R7LRJ0|A0A3R7LRJ0_PENVA,91.81,5,0,2,2,2,2,5,0,0,2,0,2,0,,5.96E+02,1.30E+03,6.99E+02,3.53E+02,2.43E+03,,,6.99E+02,,7.68E+02,,3,3,0,1,2,2,2,5,0,0,1,0,1,0,Carbamidomethylation,64977,Putative phosphatidylinositol-binding clathrin assembly protein LAP isoform X13 OS=Penaeus vannamei OX=6689 GN=C7M84_021273 PE=3 SV=1
1145,1890,A0A0P4W3N4|A0A0P4W3N4_SCYOL,91.71,12,8,4,8,8,8,8,9,4,4,4,4,4,7.23E+02,4.07E+02,3.91E+03,3.87E+03,4.74E+03,9.95E+02,3.04E+03,2.41E+02,6.99E+02,8.56E+02,7.87E+02,4.66E+02,3,3,2,1,3,5,6,2,7,2,4,1,3,2,Carbamidomethylation,34848,S-formylglutathione hydrolase OS=Scylla olivacea OX=85551 PE=3 SV=1
1736,29472,A0A5N5SKQ0|A0A5N5SKQ0_9CRUS,91.65,5,1,2,3,0,5,0,0,2,0,0,0,0,5.09E+02,5.37E+02,6.97E+02,,4.25E+02,,,1.48E+03,,,,,4,2,1,2,2,0,5,0,0,1,0,0,0,0,Carbamidomethylation,101132,Filamin-A OS=Armadillidium nasatum OX=96803 GN=cher PE=3 SV=1
1736,30234,A0A444SHR5|A0A444SHR5_ARMVU,91.65,6,2,2,3,0,6,0,0,2,0,0,0,0,5.09E+02,5.37E+02,6.97E+02,,4.25E+02,,,1.48E+03,,,,,4,2,1,2,2,0,5,0,0,1,0,0,0,0,Carbamidomethylation,88595,Filamin-A (Fragment) OS=Armadillidium vulgare OX=13347 GN=Avbf_11273 PE=3 SV=1
1940,1801,A0A0P4WMS7|A0A0P4WMS7_SCYOL,91.64,23,0,10,19,0,0,0,12,0,0,13,0,0,,1.43E+03,1.32E+03,,,,7.35E+02,,,8.56E+02,,,4,4,0,2,2,0,0,0,1,0,0,2,0,0,Carbamidomethylation,24744,Ribosomal protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1180,39321,A0A5N5T2R7|A0A5N5T2R7_9CRUS,91.52,18,18,18,18,17,17,18,17,0,17,18,18,17,2.26E+03,1.29E+03,5.33E+03,3.50E+03,2.69E+03,1.07E+04,4.21E+03,,1.39E+03,1.91E+03,3.13E+03,9.42E+02,3,3,2,2,5,1,1,7,2,0,2,3,3,7,Carbamidomethylation,9478,Cytochrome c oxidase subunit OS=Armadillidium nasatum OX=96803 GN=COX12 PE=3 SV=1
1180,48438,A0A444TG84|A0A444TG84_ARMVU,91.52,18,18,18,18,17,17,18,17,0,17,18,18,17,2.26E+03,1.29E+03,5.33E+03,3.50E+03,2.69E+03,1.07E+04,4.21E+03,,1.39E+03,1.91E+03,3.13E+03,9.42E+02,3,3,2,2,5,1,1,7,2,0,2,3,3,7,Carbamidomethylation,9477,Cytochrome c oxidase subunit OS=Armadillidium vulgare OX=13347 GN=Avbf_07365 PE=3 SV=1
1088,1627,A0A0P4WDG6|A0A0P4WDG6_SCYOL,91.4,6,5,5,5,5,3,5,0,3,3,3,6,5,1.65E+03,1.67E+03,2.48E+03,2.39E+03,1.50E+03,2.86E+03,,4.47E+02,7.04E+02,1.17E+03,2.54E+03,1.52E+03,3,3,3,4,7,4,3,4,0,4,6,1,4,2,Acetylation (Protein N-term),71545,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1088,1636,A0A0P4W9P5|A0A0P4W9P5_SCYOL,91.4,8,6,6,6,6,3,6,0,3,3,3,8,6,1.65E+03,1.67E+03,2.48E+03,2.39E+03,1.50E+03,2.86E+03,,4.47E+02,7.04E+02,1.17E+03,2.54E+03,1.52E+03,3,3,3,4,7,4,3,4,0,4,6,1,4,2,Acetylation (Protein N-term),56917,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1088,1628,A0A0P4WHE6|A0A0P4WHE6_SCYOL,91.4,6,5,5,5,5,3,5,0,3,3,3,6,5,1.65E+03,1.67E+03,2.48E+03,2.39E+03,1.50E+03,2.86E+03,,4.47E+02,7.04E+02,1.17E+03,2.54E+03,1.52E+03,3,3,3,4,7,4,3,4,0,4,6,1,4,2,Acetylation (Protein N-term),71010,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1088,1637,A0A0N7ZCS8|A0A0N7ZCS8_SCYOL,91.4,8,6,6,6,6,3,6,0,3,3,3,8,6,1.65E+03,1.67E+03,2.48E+03,2.39E+03,1.50E+03,2.86E+03,,4.47E+02,7.04E+02,1.17E+03,2.54E+03,1.52E+03,3,3,3,4,7,4,3,4,0,4,6,1,4,2,Acetylation (Protein N-term),56382,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1285,2154,A0A068J627|A0A068J627_ERISI,91.3,20,19,6,6,6,19,6,6,8,6,6,6,19,1.40E+05,3.71E+03,2.12E+03,3.30E+03,8.39E+03,2.64E+03,2.76E+03,3.22E+03,6.62E+03,1.64E+03,5.46E+02,9.95E+03,3,3,7,1,1,1,3,1,1,2,2,1,1,7,Carbamidomethylation,23420,Alpha-2-macroglobulin (Fragment) OS=Eriocheir sinensis OX=95602 GN=a2m PE=2 SV=1
1903,1711,A0A5B7FAC1|A0A5B7FAC1_PORTR,91.28,23,0,0,0,0,0,14,0,0,0,8,23,0,,,,,,2.82E+03,,,,6.92E+02,2.94E+03,,3,3,0,0,0,0,0,2,0,0,0,2,4,0,,17662,40S ribosomal protein S16 OS=Portunus trituberculatus OX=210409 GN=Rps16 PE=3 SV=1
1845,34550,A0A6A4XA46|A0A6A4XA46_AMPAM,91,5,4,5,0,0,0,5,0,0,0,0,5,0,0,4.20E+02,,,,3.23E+03,,,,,1.79E+03,,3,3,2,1,0,0,0,4,0,0,0,0,2,0,,45836,Glutamine synthetase OS=Amphibalanus amphitrite OX=1232801 GN=GLNA_2 PE=3 SV=1
1845,34551,A0A6A4X7A3|A0A6A4X7A3_AMPAM,91,5,4,5,0,0,0,5,0,0,0,0,5,0,0,4.20E+02,,,,3.23E+03,,,,,1.79E+03,,3,3,2,1,0,0,0,4,0,0,0,0,2,0,,46698,Glutamine synthetase OS=Amphibalanus amphitrite OX=1232801 GN=GLNA_2 PE=3 SV=1
1845,34596,A0A6A4X3E9|A0A6A4X3E9_AMPAM,91,6,4,6,0,0,0,6,0,0,0,0,6,0,0,4.20E+02,,,,3.23E+03,,,,,1.79E+03,,3,3,2,1,0,0,0,4,0,0,0,0,2,0,,41079,Glutamine synthetase OS=Amphibalanus amphitrite OX=1232801 GN=GLNA_2 PE=3 SV=1
1280,1026,A0A5B7CLG8|A0A5B7CLG8_PORTR,90.9,3,0,1,2,1,2,1,1,2,1,2,1,1,,1.18E+03,8.07E+03,3.41E+02,2.10E+03,5.52E+02,3.52E+03,1.58E+03,2.38E+03,4.91E+03,1.45E+03,1.52E+03,4,4,0,1,2,1,4,2,3,4,1,7,1,3,,141597,Pre-rRNA-processing protein TSR1 OS=Portunus trituberculatus OX=210409 GN=tsr1 PE=3 SV=1
1116,3655,A0A8A6LY46|A0A8A6LY46_9EUCA,90.63,11,11,4,0,4,4,10,4,7,0,0,11,4,5.21E+03,5.80E+03,,4.03E+03,5.67E+02,5.18E+03,5.03E+03,1.31E+03,,,2.20E+03,1.96E+03,3,3,5,3,0,5,2,3,4,1,0,0,8,9,,32227,Persulfide dioxygenase OS=Xenograpsus testudinatus OX=533011 PE=2 SV=1
1513,31592,Q9GPA9|Q9GPA9_CHEDE,90.55,13,11,11,11,0,11,13,11,0,11,11,11,11,5.42E+02,2.15E+03,2.17E+03,,1.09E+03,9.90E+02,5.42E+02,,1.83E+03,3.41E+02,1.05E+03,3.30E+02,3,3,2,3,1,0,2,2,1,0,1,1,3,2,,16708,40S ribosomal protein S18 (Fragment) OS=Cherax destructor OX=6723 PE=2 SV=1
1513,31593,A0A0A0VJF5|A0A0A0VJF5_CHEQU,90.55,12,10,10,10,0,10,12,10,0,10,10,10,10,5.42E+02,2.15E+03,2.17E+03,,1.09E+03,9.90E+02,5.42E+02,,1.83E+03,3.41E+02,1.05E+03,3.30E+02,3,3,2,3,1,0,2,2,1,0,1,1,3,2,,17868,40S ribosomal protein S18 OS=Cherax quadricarinatus OX=27406 GN=rps18 PE=2 SV=1
1513,31594,F5A6E1|F5A6E1_PROCL,90.55,12,10,10,10,0,10,12,10,0,10,10,10,10,5.42E+02,2.15E+03,2.17E+03,,1.09E+03,9.90E+02,5.42E+02,,1.83E+03,3.41E+02,1.05E+03,3.30E+02,3,3,2,3,1,0,2,2,1,0,1,1,3,2,,17868,40S ribosomal protein S18 OS=Procambarus clarkii OX=6728 PE=2 SV=1
1141,32670,A0A553PN21|A0A553PN21_TIGCA,90.43,17,0,11,11,9,9,9,15,0,9,0,0,0,,5.51E+02,7.09E+02,1.08E+03,1.89E+03,3.26E+03,1.75E+04,,4.97E+03,,,,3,2,0,1,6,2,3,5,17,0,4,0,0,0,Carbamidomethylation,21254,Cell division control protein 42 homolog OS=Tigriopus californicus OX=6832 GN=TCAL_05911 PE=3 SV=1
1373,1620,A0A0P4WBJ9|A0A0P4WBJ9_SCYOL,90.35,10,3,3,5,5,0,3,3,3,8,0,3,3,1.06E+03,1.16E+03,2.34E+03,,,1.08E+03,5.70E+02,5.02E+02,1.18E+03,,1.44E+03,4.08E+02,3,2,1,1,3,3,0,1,2,4,4,0,2,3,,55834,RNA-splicing ligase RtcB homolog OS=Scylla olivacea OX=85551 PE=3 SV=1
1373,1621,A0A0P4W5G8|A0A0P4W5G8_SCYOL,90.35,11,4,4,6,5,0,4,4,4,9,0,4,4,1.06E+03,1.16E+03,2.34E+03,,,1.08E+03,5.70E+02,5.02E+02,1.18E+03,,1.44E+03,4.08E+02,3,2,1,1,3,3,0,1,2,4,4,0,2,3,,48202,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=4 SV=1
1184,2335,A0A5B7E1A1|A0A5B7E1A1_PORTR,90.34,15,0,15,15,6,6,0,6,6,8,15,15,6,,5.77E+02,7.66E+02,,,,,,1.33E+03,1.15E+03,6.34E+02,,3,2,0,4,4,2,1,0,2,4,6,2,5,4,,21600,40S ribosomal protein S19 OS=Portunus trituberculatus OX=210409 GN=rps19 PE=3 SV=1
1061,3778,A0A7T1L7F4|A0A7T1L7F4_CALAT,90.25,19,11,19,19,6,14,19,14,11,6,14,19,14,4.05E+03,5.94E+03,3.06E+03,1.91E+03,2.28E+03,8.17E+03,4.54E+03,4.07E+02,1.28E+03,1.28E+03,2.66E+03,1.20E+03,3,3,2,8,7,1,5,5,3,1,1,6,2,3,,20681,Clathrin light chain OS=Callinectes arcuatus OX=257891 PE=2 SV=1
1061,2690,A0A0P4X0T3|A0A0P4X0T3_SCYOL,90.25,16,9,16,16,5,12,16,12,9,5,12,16,12,4.05E+03,5.94E+03,3.06E+03,1.91E+03,2.28E+03,8.17E+03,4.54E+03,4.07E+02,1.28E+03,1.28E+03,2.66E+03,1.20E+03,3,3,2,8,7,1,5,5,3,1,1,6,2,3,,24998,Clathrin light chain OS=Scylla olivacea OX=85551 PE=3 SV=1
1061,2692,A0A0P4WS21|A0A0P4WS21_SCYOL,90.25,12,7,12,12,4,9,12,9,7,4,9,12,9,4.05E+03,5.94E+03,3.06E+03,1.91E+03,2.28E+03,8.17E+03,4.54E+03,4.07E+02,1.28E+03,1.28E+03,2.66E+03,1.20E+03,3,3,2,8,7,1,5,5,3,1,1,6,2,3,,31218,Clathrin light chain OS=Scylla olivacea OX=85551 PE=3 SV=1
1067,32067,A0A3R7LS07|A0A3R7LS07_PENVA,90.21,6,6,4,4,3,3,4,3,3,3,4,4,3,5.81E+03,5.42E+03,6.91E+03,1.40E+04,2.24E+03,7.14E+03,8.98E+03,2.20E+03,2.77E+03,1.74E+03,4.34E+03,2.14E+03,3,3,10,3,6,2,1,6,2,2,1,5,4,2,,49252,Microtubule-associated protein OS=Penaeus vannamei OX=6689 GN=C7M84_019311 PE=4 SV=1
1205,30304,A0A1P7YD56|A0A1P7YD56_CHEQU,90.12,7,1,1,0,1,1,4,1,1,1,0,4,1,3.12E+03,4.77E+03,,1.26E+03,1.45E+03,3.06E+03,4.11E+03,5.39E+02,6.87E+03,,1.26E+03,1.34E+03,3,3,2,3,0,2,5,4,2,3,2,0,7,3,Acetylation (Protein N-term),86727,Dynamin-1-like protein OS=Cherax quadricarinatus OX=27406 PE=2 SV=1
1881,31981,A0A8B7NSC8|A0A8B7NSC8_HYAAZ,89.99,4,3,0,4,0,0,3,2,0,3,0,3,0,8.66E+02,,2.57E+03,,,1.70E+03,9.39E+02,,2.83E+02,,1.84E+03,,2,2,2,0,2,0,0,2,1,0,1,0,1,0,,74903,synapsin-like OS=Hyalella azteca OX=294128 GN=LOC108673312 PE=4 SV=1
1415,30766,A0A423U670|A0A423U670_PENVA,89.99,18,4,0,4,8,8,8,13,0,4,13,6,13,7.63E+02,,2.50E+03,1.87E+03,1.11E+03,5.16E+02,4.38E+03,,1.59E+03,2.40E+03,7.72E+02,1.98E+03,3,3,2,0,1,3,2,1,6,0,1,3,2,2,,33290,26S proteasome non-ATPase regulatory subunit 7 OS=Penaeus vannamei OX=6689 GN=C7M84_022601 PE=3 SV=1
1843,1655,A0A5B7CS68|A0A5B7CS68_PORTR,89.96,7,5,0,0,2,2,0,0,2,0,0,0,0,4.78E+02,,,,,,,1.96E+03,,,,,3,2,4,0,0,2,2,0,0,1,0,0,0,0,Carbamidomethylation,63808,Muscle LIM protein Mlp84B OS=Portunus trituberculatus OX=210409 GN=Mlp84B_1 PE=4 SV=1
1343,1177,A0A0N7ZAN6|A0A0N7ZAN6_SCYOL,89.67,4,0,1,0,1,1,3,1,3,2,2,1,0,,,,3.31E+02,1.41E+03,3.34E+02,3.03E+03,0,1.74E+03,4.71E+02,,,3,2,0,2,0,2,1,3,4,7,4,1,1,0,Deamidation (NQ),166521,Uncharacterized protein OS=Scylla olivacea OX=85551 PE=3 SV=1
1750,1459,A0A0P4W094|A0A0P4W094_SCYOL,89.58,17,7,7,0,0,0,7,4,0,0,0,6,0,9.12E+03,7.04E+03,,,,8.89E+03,,,,,6.83E+02,,4,2,3,2,0,0,0,3,2,0,0,0,1,0,Acetylation (Protein N-term),32778,Prohibitin OS=Scylla olivacea OX=85551 PE=3 SV=1
1360,31772,A0A444TQL3|A0A444TQL3_ARMVU,89.47,12,0,12,12,0,6,12,4,4,0,12,6,0,,2.19E+03,1.04E+03,,,2.79E+03,5.05E+02,4.65E+03,,6.09E+02,1.46E+03,,3,2,0,5,3,0,2,4,2,1,0,3,5,0,,29542,RNA-binding protein squid OS=Armadillidium vulgare OX=13347 GN=Avbf_06030 PE=4 SV=1
1360,31821,A0A5N5TJ64|A0A5N5TJ64_9CRUS,89.47,13,0,13,13,0,6,13,4,4,0,13,7,0,,2.19E+03,1.04E+03,,,2.79E+03,5.05E+02,4.65E+03,,6.09E+02,1.46E+03,,3,2,0,5,3,0,2,4,2,1,0,3,5,0,,27868,RNA-binding protein squid OS=Armadillidium nasatum OX=96803 GN=sqd_0 PE=4 SV=1
1417,1068,A0A1P8VFQ2|A0A1P8VFQ2_ERISI,89.44,11,3,3,11,0,0,8,0,3,0,8,8,0,,,1.93E+03,,,4.24E+02,,,,1.32E+02,5.15E+02,,3,2,1,1,9,0,0,2,0,1,0,5,3,0,Carbamidomethylation,57321,26S proteamsome non-ATPase subunit 12 OS=Eriocheir sinensis OX=95602 PE=2 SV=1
1417,1127,A0A5B7DJX2|A0A5B7DJX2_PORTR,89.44,11,3,3,11,0,0,8,0,3,0,8,8,0,,,1.93E+03,,,4.24E+02,,,,1.32E+02,5.15E+02,,3,2,1,1,9,0,0,2,0,1,0,5,3,0,Carbamidomethylation,57122,26S proteasome non-ATPase regulatory subunit 12 OS=Portunus trituberculatus OX=210409 GN=Psmd12 PE=3 SV=1
1018,1951,A0A5B7ENM2|A0A5B7ENM2_PORTR,89.4,14,8,14,12,7,8,14,12,7,7,8,14,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20760,Ras-related protein Rap-1b OS=Portunus trituberculatus OX=210409 GN=rap1b PE=3 SV=1
1018,1950,D0EWY2|D0EWY2_SCYPA,89.4,14,8,14,12,7,8,14,12,7,7,8,14,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20760,Ras-related protein Rap-1b OS=Scylla paramamosain OX=85552 PE=2 SV=1
1018,31881,A0A3R7P9I3|A0A3R7P9I3_PENVA,89.4,14,8,14,13,7,8,14,13,7,7,8,14,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,19492,Ras protein (Fragment) OS=Penaeus vannamei OX=6689 GN=C7M84_002017 PE=3 SV=1
1018,31882,A0A3R7M6R9|A0A3R7M6R9_PENVA,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20891,Ras protein OS=Penaeus vannamei OX=6689 GN=C7M84_008054 PE=3 SV=1
1018,31883,A0A8B7PED7|A0A8B7PED7_HYAAZ,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20972,ras-related protein Rap-1b OS=Hyalella azteca OX=294128 GN=LOC108680208 PE=4 SV=1
1018,31884,A0A481U6B7|A0A481U6B7_PENVA,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20917,Rap OS=Penaeus vannamei OX=6689 PE=2 SV=1
1018,31885,A0A1B1IJM9|A0A1B1IJM9_PENJP,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20891,Rap GTPase OS=Penaeus japonicus OX=27405 PE=2 SV=1
1018,31886,E4W4T2|E4W4T2_PENCE,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,20905,Ras protein OS=Penaeus chinensis OX=139456 PE=2 SV=1
1018,31887,A0A2P2HVY9|A0A2P2HVY9_9CRUS,89.4,13,8,13,12,6,8,13,12,6,6,8,13,8,7.10E+03,9.19E+03,1.05E+04,1.07E+04,1.05E+04,6.54E+03,2.33E+03,3.67E+03,1.16E+03,1.60E+04,5.49E+03,7.87E+03,3,2,3,7,6,3,3,6,2,2,2,7,5,3,,21040,Ras-related protein Rap-1b OS=Hirondellea gigas OX=1518452 PE=2 SV=1
1055,2174,W8E9G4|W8E9G4_CALSI,89.3,35,30,30,35,9,9,35,30,30,9,30,30,35,1.43E+02,3.43E+02,2.54E+02,,,1.49E+02,1.73E+02,6.32E+02,,3.98E+02,8.39E+02,0,3,2,3,5,5,4,3,5,4,6,3,2,4,2,,15121,ADP/ATP translocase (Fragment) OS=Callinectes sapidus OX=6763 PE=3 SV=1
